************************************************************
*        WINTRANS/FTOWER Version 2007-06-05                *  2023-03-07
*        Structural Analysis of Lattice Towers             *  12:49:04
************************************************************
Data File Name: C:\Documents and Settings\ХР\Рабочий стол\цкад.fto
 142  18.0   65.7    0.0   -0.7  0.40  0.02
 143  18.0   65.9    0.0   16.0  0.38  0.00
 144  18.0   65.9    0.0  -17.4  0.38  0.00
 145  18.0   66.5    0.0   19.8  0.43  0.01
 146  18.0   66.5    0.0   19.8  0.43 -0.01
 147  18.0   66.5    0.0  -21.4  0.43  0.01
 148  18.0   66.5    0.0  -21.4  0.43 -0.01
 149  21.0   91.1    0.0   -0.8  0.48 -0.04
 150  21.0   91.1    0.0   -0.8  0.48  0.04
 151  21.0   90.9    0.0   15.0  0.45  0.00
 152  21.0   90.9    0.0  -16.6  0.45  0.00
 153  21.0   91.2    0.1   12.4  0.51  0.01
 154  21.0   91.2   -0.1   12.4  0.51 -0.01
 155  21.0   91.2   -0.1  -14.1  0.51  0.01
 156  21.0   91.2    0.1  -14.1  0.51 -0.01
 157  21.0   91.0    0.1   10.5  0.51  0.00
 158  21.0   91.0   -0.1   10.5  0.51  0.00
 159  21.0   91.0   -0.1  -12.2  0.52  0.00
 160  21.0   91.0    0.1  -12.2  0.52  0.00
 161  21.0   91.1    0.0   20.3  0.51  0.02
 162  21.0   91.1    0.0   20.3  0.51 -0.02
 163  21.0   91.1    0.0  -22.0  0.52  0.02
 164  21.0   91.1    0.0  -22.0  0.52 -0.02
 165  21.0   90.7    0.0   -0.8  0.48 -0.02
 166  21.0   90.7    0.0   -0.8  0.48  0.02
 167  21.0   90.9    0.0   18.5  0.47  0.00
 168  21.0   90.9    0.0  -20.0  0.47  0.00
 169  21.0   91.4    0.0   22.2  0.52  0.01
 170  21.0   91.4    0.0   22.2  0.52 -0.01
 171  21.0   91.4    0.0  -24.0  0.52  0.01
 172  21.0   91.4    0.0  -24.0  0.52 -0.01
 173  24.0  121.0    0.0   -0.9  0.56 -0.04
 174  24.0  121.0    0.0   -0.9  0.56  0.04
 175  24.0  120.8    0.0   16.8  0.53  0.00
 176  24.0  120.8    0.0  -18.6  0.53  0.00
 177  24.0  121.1    0.1   13.7  0.59  0.01
 178  24.0  121.1   -0.1   13.7  0.59 -0.01
 179  24.0  121.1   -0.1  -15.6  0.60  0.01
 180  24.0  121.1    0.1  -15.6  0.60 -0.01
 181  24.0  121.0    0.1   11.6  0.59  0.00
 182  24.0  121.0   -0.1   11.6  0.59  0.00
 183  24.0  120.9   -0.1  -13.5  0.60  0.00
 184  24.0  120.9    0.1  -13.5  0.60  0.00
 185  24.0  121.0    0.0   22.4  0.60  0.01
 186  24.0  121.0    0.0   22.4  0.60 -0.01
 187  24.0  121.0    0.0  -24.3  0.60  0.01
 188  24.0  121.0    0.0  -24.3  0.60 -0.01
 189  24.0  120.6    0.0   -0.9  0.57 -0.03
 190  24.0  120.6    0.0   -0.9  0.57  0.03
 191  24.0  120.8    0.0   20.6  0.55  0.00
 192  24.0  120.8    0.0  -22.4  0.55  0.00
 193  24.0  121.3    0.0   24.3  0.61  0.01
 194  24.0  121.3    0.0   24.3  0.61 -0.01
 195  24.0  121.3    0.0  -26.3  0.61  0.01
 196  24.0  121.3    0.0  -26.3  0.61 -0.01
 197  27.0  154.9    0.0   -1.0  0.65 -0.04
 198  27.0  154.9    0.0   -1.0  0.65  0.04
 199  27.0  154.7    0.0   18.3  0.61  0.00
 200  27.0  154.7    0.0  -20.3  0.61  0.00
 201  27.0  155.0    0.1   14.8  0.68  0.01
 202  27.0  155.0   -0.1   14.8  0.68 -0.01
 203  27.0  155.0   -0.1  -16.9  0.69  0.01
 204  27.0  155.0    0.1  -16.9  0.69 -0.01
 205  27.0  154.9    0.1   12.4  0.69  0.00
 206  27.0  154.9   -0.1   12.4  0.69  0.00
 207  27.0  154.9   -0.1  -14.5  0.69  0.00
 208  27.0  154.9    0.1  -14.5  0.69  0.00
 209  27.0  155.0    0.0   24.2  0.68  0.02
 210  27.0  155.0    0.0   24.2  0.68 -0.02
 211  27.0  155.0    0.0  -26.3  0.69  0.02
 212  27.0  155.0    0.0  -26.3  0.69 -0.02
 213  27.0  154.6    0.0   -1.0  0.65 -0.03
 214  27.0  154.6    0.0   -1.0  0.65  0.03
 215  27.0  154.7    0.0   22.4  0.64  0.00
 216  27.0  154.7    0.0  -24.4  0.64  0.00
 217  27.0  155.2    0.0   26.1  0.69  0.01
 218  27.0  155.2    0.0   26.1  0.69 -0.01
 219  27.0  155.2    0.0  -28.3  0.69  0.01
 220  27.0  155.2    0.0  -28.3  0.69 -0.01
 221  30.0  193.9    0.0   -1.1  0.74 -0.06
 222  30.0  193.9    0.0   -1.1  0.74  0.06
 223  30.0  193.6    0.0   19.6  0.71  0.00
 224  30.0  193.6    0.0  -21.8  0.71  0.00
 225  30.0  194.0    0.2   15.7  0.78  0.01
 226  30.0  194.0   -0.2   15.7  0.78 -0.01
 227  30.0  194.0   -0.2  -17.9  0.78  0.01
 228  30.0  194.0    0.2  -17.9  0.78 -0.01
 229  30.0  193.8    0.1   13.1  0.78  0.01
 230  30.0  193.8   -0.1   13.1  0.78 -0.01
 231  30.0  193.8   -0.1  -15.3  0.78  0.01
 232  30.0  193.8    0.1  -15.3  0.78 -0.01
 233  30.0  193.9   -0.1   25.7  0.78  0.02
 234  30.0  193.9    0.1   25.7  0.78 -0.02
 235  30.0  193.9    0.1  -28.0  0.78  0.02
 236  30.0  193.9   -0.1  -28.0  0.78 -0.02
 237  30.0  193.4    0.0   -1.1  0.74 -0.05
 238  30.0  193.4    0.0   -1.1  0.74  0.05
 239  30.0  193.6    0.0   24.0  0.73  0.00
 240  30.0  193.6    0.0  -26.1  0.73  0.00
 241  30.0  194.3   -0.1   27.5  0.79  0.01
 242  30.0  194.3    0.1   27.5  0.79 -0.01
 243  30.0  194.3    0.1  -29.9  0.79  0.01
 244  30.0  194.3   -0.1  -29.9  0.79 -0.01
 245  33.0  238.2    0.0   -1.2  0.84 -0.06
 246  33.0  238.2    0.0   -1.2  0.84  0.06
 247  33.0  238.0    0.0   20.5  0.81  0.00
 248  33.0  238.0    0.0  -22.8  0.81  0.00
 249  33.0  238.3    0.2   16.3  0.87  0.01
 250  33.0  238.3   -0.2   16.3  0.87 -0.01
 251  33.0  238.3   -0.2  -18.7  0.88  0.01
 252  33.0  238.3    0.2  -18.7  0.88 -0.01
 253  33.0  238.2    0.1   13.5  0.88  0.00
 254  33.0  238.2   -0.1   13.5  0.88  0.00
 255  33.0  238.2   -0.1  -16.0  0.88  0.00
 256  33.0  238.2    0.1  -16.0  0.88  0.00
 257  33.0  238.2    0.0   26.8  0.87  0.02
 258  33.0  238.2    0.0   26.8  0.87 -0.02
 259  33.0  238.2    0.0  -29.2  0.88  0.02
 260  33.0  238.2    0.0  -29.2  0.88 -0.02
 261  33.0  237.7    0.0   -1.2  0.84 -0.05
 262  33.0  237.7    0.0   -1.2  0.84  0.05
 263  33.0  238.0    0.0   25.1  0.83  0.00
 264  33.0  238.0    0.0  -27.5  0.83  0.00
 265  33.0  238.6    0.0   28.6  0.90  0.01
 266  33.0  238.6    0.0   28.6  0.90 -0.01
 267  33.0  238.6    0.0  -31.1  0.90  0.01
 268  33.0  238.6    0.0  -31.1  0.90 -0.01
 269  36.0  288.1    0.0   -1.3  0.95 -0.07
 270  36.0  288.1    0.0   -1.3  0.95  0.07
 271  36.0  288.0    0.0   21.1  0.91  0.00
 272  36.0  288.0    0.0  -23.7  0.91  0.00
 273  36.0  288.2    0.2   16.8  0.98  0.00
 274  36.0  288.2   -0.2   16.8  0.98  0.00
 275  36.0  288.2   -0.2  -19.4  0.99  0.00
 276  36.0  288.2    0.2  -19.4  0.99  0.00
 277  36.0  288.0    0.2   13.9  0.98  0.00
 278  36.0  288.0   -0.2   13.9  0.98  0.00
 279  36.0  288.0   -0.2  -16.5  0.99  0.00
 280  36.0  288.0    0.2  -16.5  0.99  0.00
 281  36.0  288.2    0.1   27.6  0.98  0.02
 282  36.0  288.2   -0.1   27.6  0.98 -0.02
 283  36.0  288.2   -0.1  -30.2  0.98  0.02
 284  36.0  288.2    0.1  -30.2  0.98 -0.02
 285  36.0  287.5    0.0   -1.3  0.95 -0.06
 286  36.0  287.5    0.0   -1.3  0.95  0.06
 287  36.0  288.0    0.0   25.9  0.94  0.00
 288  36.0  288.0    0.0  -28.4  0.94  0.00
 289  36.0  288.3    0.3   29.3  0.99 -0.01
 290  36.0  288.3   -0.3   29.3  0.99  0.01
 291  36.0  288.3   -0.3  -32.0  0.99 -0.01
 292  36.0  288.3    0.3  -32.0  0.99  0.01
 293  38.1  326.9    0.0   -1.4  1.06 -0.02
 294  38.1  326.9    0.0   -1.4  1.06  0.02
 295  38.1  327.6    0.0   28.6  1.12  0.00
 296  38.1  327.6    0.0  -31.3  1.12  0.00
 297  38.1  327.1    0.3   29.5  1.11 -0.02
 298  38.1  327.1   -0.3   29.5  1.11  0.02
 299  38.1  327.1   -0.3  -32.3  1.11 -0.02
 300  38.1  327.1    0.3  -32.3  1.11  0.02
 301  40.0  364.8    2.1   29.4  1.16 -0.06
 302  40.0  364.8   -2.1   29.4  1.16  0.06
 303  40.0  364.9   -2.1  -32.2  1.16 -0.06
 304  40.0  364.9    2.2  -32.2  1.16  0.06
 305  41.6  397.1    0.0   -1.5  1.21 -0.05
 306  41.6  397.1    0.0   -1.5  1.21  0.05
 307  41.6  398.3    0.0   30.0  1.22  0.00
 308  41.6  398.3    0.0  -32.9  1.22  0.00
 309  41.6  397.4    0.6   29.7  1.22 -0.04
 310  41.6  397.4   -0.6   29.7  1.22  0.04
 311  41.6  397.4   -0.6  -32.6  1.22 -0.04
 312  41.6  397.4    0.6  -32.6  1.22  0.04
 313  43.0  429.1    1.1   29.7  1.30 -0.04
 314  43.0  429.1   -1.1   29.7  1.30  0.04
 315  43.0  429.1   -1.2  -32.7  1.30 -0.04
 316  43.0  429.1    1.2  -32.7  1.30  0.04
 317  44.6  465.7    0.0   -1.5  1.36 -0.04
 318  44.6  465.7    0.0   -1.5  1.36  0.04
 319  44.6  466.8    0.0   29.2  1.38  0.00
 320  44.6  466.8    0.0  -32.3  1.38  0.00
 321  44.6  466.0    0.5   29.6  1.38 -0.04
 322  44.6  466.0   -0.5   29.6  1.38  0.04
 323  44.6  466.0   -0.5  -32.6  1.38 -0.04
 324  44.6  466.0    0.5  -32.6  1.38  0.04
 325  46.0  501.3    1.5   29.2  1.45 -0.06
 326  46.0  501.3   -1.5   29.2  1.45  0.06
 327  46.0  501.3   -1.6  -32.3  1.45 -0.06
 328  46.0  501.3    1.6  -32.3  1.45  0.06
 329  47.6  542.7    0.0   -1.6  1.52 -0.05
 330  47.6  542.7    0.0   -1.6  1.52  0.05
 331  47.6  543.8    0.0   28.6  1.55  0.00
 332  47.6  543.8    0.0  -31.7  1.55  0.00
 333  47.6  542.9    0.5   28.8  1.54 -0.04
 334  47.6  543.0   -0.5   28.8  1.54  0.04
 335  47.6  543.0   -0.5  -32.0  1.54 -0.04
 336  47.6  543.0    0.5  -32.0  1.54  0.04
 337  49.0  582.0    1.6   28.1  1.62 -0.07
 338  49.0  582.0   -1.6   28.1  1.62  0.07
 339  49.0  582.0   -1.6  -31.4  1.62 -0.07
 340  49.0  582.1    1.6  -31.4  1.62  0.07
 341  50.3  620.2    0.0   -1.6  1.69 -0.07
 342  50.3  620.2    0.0   -1.6  1.69  0.07
 343  50.3  621.3    0.0   27.7  1.71  0.00
 344  50.3  621.4    0.0  -31.0  1.71  0.00
 345  50.3  620.5    0.5   27.8  1.71 -0.05
 346  50.3  620.5   -0.5   27.8  1.71  0.05
 347  50.3  620.5   -0.5  -31.1  1.71 -0.05
 348  50.3  620.5    0.5  -31.1  1.71  0.05
 349  51.5  656.8    1.2   27.2  1.81 -0.07
 350  51.5  656.8   -1.2   27.2  1.81  0.07
 351  51.5  656.9   -1.2  -30.6  1.81 -0.07
 352  51.5  656.9    1.3  -30.6  1.81  0.07
 353  52.6  690.8    0.0   -1.7  1.85 -0.05
 354  52.6  690.8    0.0   -1.7  1.85  0.06
 355  52.6  691.6    0.0   26.7  1.89  0.00
 356  52.6  691.6    0.0  -30.1  1.89  0.00
 357  52.6  691.0    0.5   26.6  1.89 -0.04
 358  52.6  691.0   -0.5   26.6  1.89  0.04
 359  52.6  691.0   -0.5  -30.0  1.89 -0.04
 360  52.6  691.0    0.5  -30.0  1.89  0.04
 361  53.5  722.9    0.7   26.0  1.96 -0.04
 362  53.5  722.9   -0.8   26.0  1.96  0.04
 363  53.5  722.9   -0.8  -29.4  1.96 -0.05
 364  53.5  722.9    0.8  -29.4  1.96  0.05
 365  54.3  750.2    0.0   -1.7  1.97 -0.03
 366  54.3  750.2    0.0   -1.7  1.97  0.03
 367  54.3  750.4    0.0   25.6  2.00  0.00
 368  54.3  750.4    0.0  -29.1  2.00  0.00
 369  54.3  750.2    0.2   25.3  2.02 -0.01
 370  54.3  750.3   -0.2   25.3  2.02  0.01
 371  54.3  750.3   -0.2  -28.8  2.02 -0.02
 372  54.3  750.3    0.2  -28.8  2.02  0.02
 373  55.0  775.9    0.0   24.6  2.11  0.01
 374  55.0  776.0    0.0   24.6  2.11 -0.01
 375  55.0  775.9    0.0  -28.2  2.11  0.01
 376  55.0  776.0    0.0  -28.2  2.11 -0.01
 377  55.5  794.4    0.0   -1.8  2.05 -0.01
 378  55.5  794.5    0.0   -1.8  2.05  0.01
 379  55.5  794.6    0.0   25.0  2.17  0.00
 380  55.5  794.6    0.0  -28.5  2.17  0.00
 381  56.0  813.6    0.2   25.6  2.18  0.00
 382  56.0  813.6   -0.2   25.6  2.18  0.01
 383  56.0  813.5   -0.2  -29.1  2.18 -0.01
 384  56.0  813.6    0.2  -29.1  2.18  0.01
 385  56.5  832.5    0.0   -1.7  2.13 -0.01
 386  56.5  832.5    0.0   -1.7  2.13  0.02
 387  56.5  832.8    0.0   26.2  2.21  0.00
 388  56.5  832.8    0.0  -29.8  2.22  0.00
 389  57.0  852.3    0.2   26.8  2.27 -0.01
 390  57.0  852.3   -0.2   26.8  2.27  0.02
 391  57.0  852.4   -0.2  -30.4  2.27 -0.01
 392  57.0  852.4    0.2  -30.4  2.27  0.02
 393  57.5  872.3    0.0   -1.9  2.23 -0.02
 394  57.5  872.3    0.0   -1.8  2.23  0.02
 395  57.5  872.6    0.0   27.2  2.35  0.00
 396  57.5  872.6    0.0  -30.8  2.34  0.00
 397  58.0  893.0    0.4   27.9  2.38 -0.03
 398  58.0  893.1   -0.4   27.9  2.38  0.03
 399  58.0  893.0   -0.4  -31.6  2.38 -0.03
 400  58.0  893.1    0.4  -31.6  2.38  0.03
 401  58.5  913.8    0.0   -1.8  2.31 -0.03
 402  58.5  913.8    0.0   -1.8  2.31  0.03
 403  58.5  914.1    0.0   28.4  2.41  0.00
 404  58.5  914.2    0.0  -32.1  2.42  0.00
 405  59.0  935.2    0.3   28.9  2.45 -0.02
 406  59.0  935.2   -0.3   28.9  2.45  0.03
 407  59.0  935.2   -0.3  -32.6  2.45 -0.02
 408  59.0  935.2    0.4  -32.6  2.45  0.02
 409  59.5  956.6    0.0   -1.9  2.37 -0.01
 410  59.5  956.6    0.0   -1.9  2.37  0.02
 411  59.5  956.9    0.0   29.4  2.48  0.00
 412  59.5  956.8    0.0  -33.2  2.47  0.00
 413  60.0  978.5    0.0   29.6  2.50  0.00
 414  60.0  978.5   -0.1   29.6  2.50  0.01
 415  60.0  978.4    0.0  -33.3  2.50 -0.01
 416  60.0  978.5    0.1  -33.3  2.50  0.00
 417  60.5 1000.2    0.0   -1.8  2.42  0.00
 418  60.5 1000.2    0.0   -1.8  2.42  0.00
 419  60.5 1000.4    0.0   29.8  2.51  0.00
 420  60.5 1000.4    0.0  -33.6  2.52  0.00
 421  61.0 1022.3    0.1   30.2  2.52 -0.01
 422  61.0 1022.3   -0.1   30.1  2.52  0.01
 423  61.0 1022.4    0.0  -34.0  2.53  0.00
 424  61.0 1022.4    0.1  -34.0  2.53  0.01
 425  61.5 1044.5    0.0   -2.0  2.49 -0.02
 426  61.5 1044.5    0.0   -2.0  2.49  0.03
 427  61.5 1044.8    0.0   30.4  2.60  0.00
 428  61.5 1044.9    0.0  -34.2  2.59  0.00
 429  62.0 1067.5    0.4   31.3  2.62 -0.03
 430  62.0 1067.5   -0.5   31.2  2.62  0.03
 431  62.0 1067.4   -0.5  -35.1  2.62 -0.04
 432  62.0 1067.4    0.5  -35.1  2.62  0.04
 433  62.5 1090.4    0.0   -1.9  2.57 -0.03
 434  62.5 1090.4    0.0   -1.9  2.57  0.04
 435  62.5 1090.7    0.0   31.8  2.65  0.00
 436  62.5 1090.7    0.0  -35.8  2.66  0.00
 437  63.0 1113.8    0.2   32.1  2.69 -0.02
 438  63.0 1113.8   -0.3   32.1  2.69  0.02
 439  63.0 1113.9   -0.2  -36.1  2.69 -0.01
 440  63.0 1113.9    0.3  -36.0  2.69  0.01
 441  63.5 1137.3    0.0   -2.1  2.63  0.00
 442  63.5 1137.4    0.1   -2.1  2.62  0.01
 443  63.5 1137.6    0.0   32.6  2.72  0.00
 444  63.5 1137.5    0.0  -36.5  2.70  0.00
 445  64.0 1161.3    0.0   32.6  2.72  0.01
 446  64.0 1161.3    0.0   32.6  2.71  0.02
 447  64.0 1161.1    0.0  -36.6  2.72 -0.01
 448  64.0 1161.1    0.1  -36.6  2.72  0.00
 449  64.5 1184.8    0.0   -1.9  2.66  0.00
 450  64.5 1184.8    0.1   -1.9  2.65  0.00
 451  64.5 1184.9    0.0   32.7  2.70  0.00
 452  64.5 1184.9    0.0  -36.8  2.73  0.00
 453  65.0 1208.6    0.1   33.0  2.72  0.00
 454  65.0 1208.5    0.0   32.9  2.72  0.01
 455  65.0 1208.8    0.0  -37.0  2.73  0.00
 456  65.0 1208.7    0.0  -37.0  2.72  0.01
 457  65.5 1232.5    0.0   -2.1  2.68 -0.02
 458  65.5 1232.4    0.0   -2.2  2.68  0.00
 459  65.5 1232.5    0.1   33.1  2.76  0.00
 460  65.5 1232.6    0.0  -37.1  2.73  0.01
 461  66.0 1256.6    0.2   33.2  2.76  0.00
 462  66.0 1256.5    0.0   33.2  2.74  0.00
 463  66.0 1256.6   -0.2  -37.3  2.75 -0.01
 464  66.0 1256.2    0.1  -37.3  2.75  0.02
 465  66.5 1280.6    0.1   -2.0  2.70 -0.02
 466  66.5 1280.3    0.0   -1.8  2.69 -0.01
 467  66.5 1280.5    0.1   33.3  2.74  0.02
 468  66.5 1280.6   -0.1  -37.5  2.77  0.02
 469  67.0 1304.8    0.2   33.4  2.75  0.01
 470  67.0 1304.2    0.2   33.3  2.75  0.01
 471  67.0 1304.8   -0.1  -37.5  2.76 -0.02
 472  67.0 1304.7   -0.2  -37.4  2.79  0.00
 473  68.0 1352.9    0.2   33.4  2.75  0.01
 474  68.0 1352.6    0.1   33.4  2.78 -0.01
 475  68.0 1352.8    0.0  -37.6  2.74 -0.02
 476  68.0 1353.4   -0.3  -37.4  2.79  0.01
 477  56.0  814.0   -0.5   68.3  2.18 -0.02
 478  56.0  814.3   -0.5   68.4  2.17 -0.02
 479  56.5  833.0   -0.1   68.3  2.17  0.00
 480  56.5  833.1   -0.1   68.4  2.15 -0.01
 481  56.0  814.8    0.5  108.0  2.01  0.00
 482  56.0  814.6    0.4  108.1  2.03  0.00
 483  56.0  813.7   -0.3  -72.7  2.28  0.00
